"Author_id";"Name"
1;"Aldous Huxley"
2;"Tony Britton"
3;"Mandy Stanley"
4;"Fiona Pragoff"
5;"Robert Lopshire"
6;"Richard Bruce Wright"
7;"Frances Itani"
8;"David Cohen"
9;"Victoria Holt"
10;"Alistair MacLean"
11;"Ian St.James"
12;"Marilyn Bowering"
13;"Timothy Findley"
14;"Diane Schoemperlen"
15;"Rhidian Brook"
16;"Christopher Wallace"
17;"Dermot Bolger"
18;"J. C. Suares"
19;"Jean-Claude Suares"
20;"C. K. Stead"
21;"Patrick Creagh"
22;"Vitaliano Brancati"
23;"Nick Page"
24;"Alwyn Crawshaw"
25;"Simone De Beauvoir"
26;"Desmond Bagley"
27;"Adrian Plass"
28;"Georges Bernanos"
29;"Pamela Morris"
30;"Mary Craig"
31;"J. P Kenyon"
32;"LIBBY PURVES"
33;"Marcus Sieff"
34;"John Harvey Jones"
35;"Dakota Hamilton"
36;"Ruth Teichroeb"
37;"Rob Payne"
38;"Robert Ludlum"
39;"Karleen Bradford"
40;"Andrew Pyper"
41;"Arthur Slade"
42;"Michael Dobbs"
43;"Colin Bateman"
44;"Frank Mccourt"
45;"Daniel Easterman"
46;"Philippa Gregory"
47;"Isabel Wolff"
48;"Martina Devlin"
49;"Peter Hoeg"
50;"Alice Thomas Ellis"
51;"Nien Cheng"
52;"Paullina Simons"
53;"Geoff Ryman"
54;"Peter Hedges"
55;"Libby Butterworth"
56;"Siobhan Dodds"
57;"Jan Mark"
58;"Tony Ross"
59;"Robert Leeson"
60;"Will Gatti"
61;"Alan Garner"
62;"Cynthia Blair"
63;"Michael Morpurgo"
64;"Jean Ure"
65;"Carolyn Keene"
66;"Matthew Thomas"
67;"Fiona Horne"
68;"Richard Littlejohn"
69;"Sue Welfare"
70;"Steve Barlow"
71;"Steve Skidmore"
72;"Pamela Stephenson"
73;"James Runcie"
74;"Lindsay Clarke"
75;"Richard Holmes"
76;"Carol Shields"
77;"Alexander Games"
78;"Eddie Izzard"
79;"Spike Milligan"
80;"Bernard Levin"
81;"Raymond Keene"
82;"Margaret Shertzer"
83;"Kirill Bulychev"
84;"Theodore Sturgeon"
85;"Robert Coover"
86;"A.W. Bouis"
87;"Eremei Parnov"
