"Isbn";"Author"
"9780001047976";"Aldous Huxley"
"9780001047976";"Tony Britton"
"9780001360464";"Mandy Stanley"
"9780001374867";"Fiona Pragoff"
"9780001714601";"Robert Lopshire"
"9780002005012";"Richard Bruce Wright"
"9780002005395";"Frances Itani"
"9780002179683";"David Cohen"
"9780002215817";"Victoria Holt"
"9780002219471";"Alistair MacLean"
"9780002229548";"Ian St.James"
"9780002243773";"Marilyn Bowering"
"9780002244091";"Timothy Findley"
"9780002245661";"Diane Schoemperlen"
"9780002257589";"Rhidian Brook"
"9780002258579";"Christopher Wallace"
"9780002261524";"Dermot Bolger"
"9780002550567";"J. C. Suares"
"9780002550567";"Jean-Claude Suares"
"9780002712170";"C. K. Stead"
"9780002713276";"Patrick Creagh"
"9780002713276";"Vitaliano Brancati"
"9780002740234";"Nick Page"
"9780004121123";"Alwyn Crawshaw"
"9780006135982";"Simone De Beauvoir"
"9780006143192";"Desmond Bagley"
"9780006276197";"Adrian Plass"
"9780006278849";"Georges Bernanos"
"9780006278849";"Pamela Morris"
"9780006280804";"Mary Craig"
"9780006329527";"J. P Kenyon"
"9780006369882";"LIBBY PURVES"
"9780006372578";"Marcus Sieff"
"9780006374091";"John Harvey Jones"
"9780006385370";"Dakota Hamilton"
"9780006386360";"Ruth Teichroeb"
"9780006392460";"Rob Payne"
"9780006476337";"Robert Ludlum"
"9780006479383";"Karleen Bradford"
"9780006479659";"Karleen Bradford"
"9780006480600";"Timothy Findley"
"9780006480761";"Andrew Pyper"
"9780006485933";"Arthur Slade"
"9780006498001";"Michael Dobbs"
"9780006498032";"Colin Bateman"
"9780006498407";"Frank Mccourt"
"9780006510017";"Daniel Easterman"
"9780006511762";"Philippa Gregory"
"9780006513407";"Isabel Wolff"
"9780006514589";"Martina Devlin"
"9780006547839";"Peter Hoeg"
"9780006548188";"Alice Thomas Ellis"
"9780006548614";"Nien Cheng"
"9780006550570";"Paullina Simons"
"9780006550785";"Geoff Ryman"
"9780006551072";"Peter Hedges"
"9780006642008";"Libby Butterworth"
"9780006642008";"Siobhan Dodds"
"9780006643098";"Jan Mark"
"9780006643098";"Tony Ross"
"9780006716068";"Robert Leeson"
"9780006727491";"Will Gatti"
"9780006742937";"Alan Garner"
"9780006749158";"Cynthia Blair"
"9780006751038";"Michael Morpurgo"
"9780006751502";"Jean Ure"
"9780006923473";"Carolyn Keene"
"9780007100224";"Matthew Thomas"
"9780007101955";"none"
"9780007103997";"Fiona Horne"
"9780007106134";"Richard Littlejohn"
"9780007106578";"Sue Welfare"
"9780007108640";"Steve Barlow"
"9780007108640";"Steve Skidmore"
"9780007110926";"Pamela Stephenson"
"9780007119868";"James Runcie"
"9780007134496";"Lindsay Clarke"
"9780007137503";"Richard Holmes"
"9780007154616";"Carol Shields"
"9780007155095";"Alexander Games"
"9780007155095";"Eddie Izzard"
"9780007155095";"Spike Milligan"
"9780020083511";"Bernard Levin"
"9780020083511";"Raymond Keene"
"9780020154402";"Margaret Shertzer"
"9780020178507";"Kirill Bulychev"
"9780020178507";"Theodore Sturgeon"
"9780020191209";"Robert Coover"
"9780020198505";"A.W. Bouis"
"9780020198505";"Eremei Parnov"
"9780020198505";"Mikhail Emtsev"
"9780020198819";"F. Scott Fitzgerald"
"9780020198901";"Joseph F. Girzone"
"9780020199083";"Joseph F. Girzone"
"9780020199090";"Joseph Girzone"
"9780020199304";"Fitzgerald"
"9780020199601";"F. Scott Fitzgerald"
"9780020199854";"F. Scott Fitzgerald"
"9780020223726";"Richard Llewellyn"
"9780020236108";"Cathie Pelletier"
"9780020264781";"Edith Wharton"
"9780020292654";"Björn  Kjellström"
"9780020312758";"Day"
"9780020360759";"Annie Proulx"
"9780020404804";"Virginia Cary Hudson"
"9780020412403";"Louisa May Alcott"
"9780020418801";"Carol Ryrie Brink"
"9780020427858";"Susan Cooper"
"9780020433118";"Hall"
"9780020435204";"Eros Keith"
"9780020435204";"Virginia Hamilton"
"9780020436904";"Joseph Hone"
"9780020437505";"Pat Hutchins"
"9780020442004";"C. S. Lewis"
"9780020442103";"C. S. Lewis"
"9780020442103";"Pauline Baynes"
"9780020442103";"Roger Hayne"
"9780020442202";"C. S. Lewis"
"9780020442301";"C. S. Lewis"
"9780020442400";"C. S Lewis"
"9780020442608";"C. S. Lewis"
"9780020446507";"Robert C. O\'Brien"
"9780020447016";"John Miller"
"9780020474104";"Arthur Plotnik"
"9780020518600";"Ernest Hemingway"
"9780020518709";"Ernest Hemingway"
"9780020519003";"Ernest Hemingway"
"9780020519102";"Ernest Hemingway"
"9780020519300";"ERNEST HEMINGWAY"
"9780020519607";"Ernest Hemingway"
"9780020532101";"Alan Paton"
"9780020545507";"Josephine Tey"
"9780020631507";"Marie-Luise Kreuter"
"9780020868309";"C. S. Lewis"
"9780020868804";"C S Lewis"
"9780020868903";"C.S. Lewis"
"9780020869009";"C.S. Lewis"
"9780020960805";"Ashley Montagu"
"9780023193910";"Denise Lardner Carmody"
"9780023193910";"John Carmody"
"9780023376627";"Caroline Schrodes"
"9780023464508";"Richard H. Green"
"9780023672606";"Laurence J. Lafleur"
"9780024031211";"Carl R. Rogers"
"9780024031211";"H. Jerome Freiberg"
"9780024080912";"Duane P. Schultz"
"9780024080912";"Schultz"
"9780024103413";"Grace Shugart"
"9780024103413";"Mary Molt"
"9780024182005";"E. B. White"
"9780024182005";"Jr. William Strunk"
"9780025003309";"Mortimer J. Adler"
"9780025182004";"Lolah Burford"
"9780025196353";"Barbara Bush"
"9780025294455";"Stevie Daniels"
"9780025427303";"James Finn Garner"
"9780025473904";"Haskel Frankel"
"9780025473904";"Uta Hagen"
"9780026098403";"Ntozake Shange"
"9780026125802";"Spain"
"9780026329859";"Eileen Yin-Fei Lo"
"9780026885522";"Ken Kimmelman"
"9780026885522";"Robert Loren Fleming"
"9780026890380";"Blanche Fisher Wright"
"9780026890380";"Checkerboard Press"
"9780027082302";"Betty Baker"
"9780027357813";"Jane Gardam"
"9780027582000";"C. S. Lewis"
"9780027582000";"Michael Hague"
"9780027701302";"Gary Paulsen"
"9780028600819";"Durell Godfrey"
"9780028600819";"Judith Zimmer"
"9780028604039";"Frommer"
"9780028604039";"Patricia Barnes-Svarney"
"9780028604190";"James Finn Garner"
"9780028604206";"James Finn Garner"
"9780028604695";"Lisa Legarde"
"9780028606354";"Alice Garrard"
"9780028606354";"Dan Levine"
"9780028606354";"Herbert Bailey Livesey"
"9780028606354";"Ni"
"9780028606736";"Karl Baedeker"
"9780028606736";"Rainer Eisenschmid"
"9780028610108";"Alan Witschonke"
"9780028610108";"Mark Bittman"
"9780028610863";"Jeff Davidson Jeffrey P.; Davidson"
"9780028612676";"Abbot George Burke"
"9780028613222";"New York Public Library"
"9780028613437";"Larry Waschka"
"9780028617275";"Jane Pettigrew"
"9780028617367";"Patrick Chabris Christopher;Wolff"
"9780028620664";"Betty Crocker Editors"
"9780028621234";"Cindy Kitchel"
"9780028621234";"Gail Diven"
"9780028625751";"Steve Ettlinger"
"9780028626154";"Arthur Frommer"
"9780028626956";"Ann Douglas"
"9780028626956";"John R. Sussman"
"9780028630090";"Betty Crocker Editors"
"9780028630236";"Betty Crocker Editors"
"9780028634692";"Betty Crocker"
"9780028634692";"Betty Crocker Editors"
"9780028639222";"Eric F Goldman"
"9780028642338";"Yahiya Emerick"
"9780028702506";"Nickolas Slonimsky"
"9780028702506";"Theodore Baker"
"9780029023105";"Ernest Becker"
"9780029087107";"Clement Eaton"
"9780029205280";"Peter Mcdonough"
